"102","PETRON MACAPAGAL              ","G/F MET-PETRON STATION DIOSDADO    ","PASAY CITY          ","12222014","03272015","","","",""
"103","AIC GRANDE TOWER              ","G/F UNIT 1-4 AIC GRANDE TOWER    ","PASIG CITY          ","12222014","06202015","","","",""
"104","BONIFACIO STOP OVER           ","GF Unit R - 101 BONIFACIO         ","TAGUIG CITY         ","04212015","0","","","",""
"106","MANILA RESIDENCES TOWER II    ","GF UNIT104TAFT AVENUEBRGY.725    ","MANILA              ","0","0","","","",""
"107","GRAND CENTRAL RESIDENCES      ","GF UNIT 101-104 SULTAN ST.        ","MANDALUYONG CITY    ","0","0","","","",""
"108","SAN ANTONIO VALLEY            ","San Antonio AVENUE                ","PARANAQUE           ","03132015","07242015","","","",""
"109","OCAI CENTER                   ","G/F OCAI BUILDINGF. ORTIGAS JR.   ","PASIG CITY          ","03202015","09042015","","","",""
"100","OPL BUILDING                  ","GF OPL BUILDING - ANNEX           ","MAKATI CITY         ","03092015","0","","","",""
"113","NATIONAL LIFE INSURANCE BLDG  ","GF NATL LIFE INSURANCE BLDG       ","MAKATI CITY         ","03182015","0","","","",""
"99","ETON CENTRIS WALK             ","GF UNIT 4E ETON CENTRIS WALK      ","QUEZON CITY         ","12172014","0","","","",""
"55","MERCURE HOTEL                 ","GF UNIT03MERCURE HOTELSAN MIGUEL ","PASIG CITY          ","0","0","","","",""
"88","THE ENTERPRISE CENTER         ","6766 AYALA AVE COR. PASEO DE ROXAS ","MAKATI CITY         ","02202015","0","","","",""
"105","AYALA MALLS SERIN             ","GF AYALA MALLS SERIN               ","TAGAYTAY CITY       ","04142015","0","","","",""
"114","PIONEER HIGHLAND SOUTH        ","UNIT 6 UGF GLOBE TELECOM PLAZA 1  ","MANDALUYONG CITY    ","05292015","0","","","",""
"95","AVIDA CENTERA                 ","SPACE 1C-08 GF AVIDA TOWERS CENTERA","MANDALUYONG CITY    ","0","0","","","",""
"111","WYNSUM CORPORATE PLAZA        ","UNIT G1-C WYNSUM CORPORATE PLAZA   ","PASIG CITY          ","0","0","","","",""
"112","UPTOWN BGC                    ","UNIT D104TH FLR.UPTOWN PLACE MALL","TAGUIG CITY         ","0","0","","","",""
