"004800086036025","900220","S SUPERTHICK CLASSIC CHOC1.5L ","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086036063","900223","S SUPERTHICK CLASSIC UBE 1.5L ","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036049","900226","S SPRTHICK CLASSIC VANILLA1.5L","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040480","900227","S CLASSIC CVS 1.5L            ","256.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040541","900240","S 3IN1 CHOCOLATE MANGO UBE1.3L","155.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086035790","900241","S 3IN1 CHOCOLATE MANGO UBE1.0L","128.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040534","900242","S 3IN1 CHOCOLATE KESO UBE 1.3L","155.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040527","900243","S 3IN1 CHOCOLATE KESO UBE 1.0L","128.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086038890","900245","S 3IN1 UBE KESO STRAW VRR1.5L ","193.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086039156","900249","S 3IN1 CHOC MANGO UBE DD 1.5L ","193.000","PC ","","","220","Ice Cream - Tub          ","212","Ice Cream - Tub          ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"008999999005689","900253","S MAGNUM CLASSIC IND 90ML     ","55.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"008999999005610","900254","S MAGNUM ALMOND IND 90ML      ","55.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"008999999025984","900257","S MAGNUM CHOCO STRAWBERRY 90ML","55.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086134325","900264","S CORNETTO CLASSIC CHOCO110ML ","25.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086034670","900266","S CORNETTO VANILLA 105ML      ","25.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086040503","900269","S CORNETTO WHITE CHOCO110ML   ","25.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09142015",""
"004800086040862","900270","S CORNETTO DUO CHOC WHITE110ML","27.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09072015",""
"004800086039576","900271","S CORNETTO  CHOCLTE DISC 120ML","32.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09162015",""
"004800086036513","900275","S ICECRMSTICK COOKIESNCRM70ML ","13.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086036520","900276","S ICECREAMSTICK VERY RROAD70ML","13.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040930","900279","S PADDLE POP ICS RAINBOW 60ML ","15.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"004800086040947","900280","S PADDLE POP ICS CHOKY 60ML   ","15.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09142015",""
"008851932199797","900281","S PADDLE POP ICS JELI SNOW58ML","15.000","PC ","","","220","Ice Cream - Novelties    ","211","Ice Cream - Novelties    ","50002","UNILEVER RFM ICE CREAM INC.        ","09082015",""
"008888077102061","900285","MEIJI HELLOPANDA FOIL CHOCO35G","21.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09072015",""
"008888077101101","900286","MEIJI YANYAN CHOCOLATE 50G    ","35.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09072015",""
"000000049771992","900287","MEIJI CHOCOBABY CHOCO 32G     ","48.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09072015",""
"008888077108308","900288","MEIJI HELLO PANDA CHOCO 43G   ","29.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077101224","900289","MEIJI YANYAN DOUBLE CREAM 44G ","35.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"4902777194028  ","900290","MEIJI BIG BAR BLACK CHOCO 50G ","58.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09072015",""
"4902777194264  ","900291","MEIJI MACADAMIA CHOCOLATE 63G ","117.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09072015",""
"000000049770568","900292","MEIJI APOLLO CHOCOLATE 48G    ","43.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09072015",""
"004902777017761","900293","MEIJI BAR BLACK CHOCOLATE 45G ","50.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09072015",""
"008888077108322","900294","MEIJI HELLOPANDA STRAWBERRY43G","29.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077103259","900295","MEIJI HELLOPANDA FOIL STRAW35G","21.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077101125","900296","MEIJI YANYAN STRAWBERRY 50G   ","35.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077101200","900297","MEIJI YANYAN VANILLA 50G      ","35.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"004902777235547","900298","MEJI PUCCA CHOCO 52G          ","58.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09072015",""
"4902777193946  ","900299","MEIJI BIG BAR MILK CHOCO 50G  ","58.000","PC ","","","230","Chocolates               ","215","Chocolates               ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008994504124312","900300","MEIJI LUCKY STICK CHOCOLATE45G","37.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077101378","900301","MEIJI YANYAN HAZELNUT 44G     ","35.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077108421","900302","MEIJI HELLOPANDA DBLE CREAM43G","29.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"008888077108476","900303","MEIJI HELOPANDA FOIL DBLCRM35G","21.000","PC ","","","260","Biscuits                 ","230","Biscuits                 ","30106","GRAND DRAGON ENT.                  ","09082015",""
"004803925033100","900306","PEPSI REGULAR 330ML           ","27.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925033162","900311","MIRINDA ORANGE  330ML         ","27.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09012015",""
"004803925033155","900312","MUG ROOTBEER  330ML           ","27.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925033148","900313","MOUNTAIN DEW  330ML           ","27.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925251108","900314","PEPSI REGULAR 500ML           ","30.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925251320","900315","PEPSI MAX 500ML               ","30.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925251122","900316","7 UP REGULAR 500ML            ","30.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925251160","900317","MIRINDA ORANGE 500ML          ","30.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925251146","900318","MOUNTAIN DEW 500ML            ","30.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925120213","900319","PEPSI REGULAR 2L              ","61.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925120251","900324","MUG ROOTBEER  2L              ","61.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925120268","900325","MOUNTAIN DEW  2L              ","61.000","PC ","","","210","Carbonated BottledCanned ","201","Carbonated BottledCanned ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925350030","900326","GATORADE ORANGE CHILL 350ML   ","28.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925350054","900327","GATORADE BLUE BOLT 350 ML     ","28.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925350016","900328","GATORADE TROPICAL FRUIT 350ML ","28.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925350023","900329","GATORADE GRAPE 350ML          ","28.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925350047","900330","GATORADE LEMON LIME 350ML     ","28.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
"004803925061127","900332","GATORADE ORANGE CHILL 500ML   ","38.000","PC ","","","210","Energy & Isotonic Drinks ","204","Energy & Isotonic Drinks ","30079","PEPSI COLA PRODUCTS PHILIPPINES,INC","09072015",""
